Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
27 Nov.,84,51,--,--,14,52,Bon,7h 54min.,22:42,6:39
26 Nov.,86,53,--,--,13,48,Bon,9h 41min.,0:22,10:04
25 Nov.,22,65,--,--,16,--,Mauvais,2h 55min.,6:39,9:41
24 Nov.,79,55,--,--,13,--,Passable,8h 37min.,22:55,7:41
23 Nov.,--,--,--,--,--,--,--,--,--,--
22 Nov.,--,--,--,--,--,--,--,--,--,--
21 Nov.,85,52,--,--,14,73,Bon,7h 16min.,0:29,7:45
20 Nov.,--,--,--,--,--,--,--,--,--,--
19 Nov.,--,--,--,--,--,--,--,--,--,--
18 Nov.,--,--,--,--,--,--,--,--,--,--
17 Nov.,65,52,--,--,14,57,Passable,7h 9min.,23:06,7:13
16 Nov.,92,52,--,--,14,59,Excellent,8h 5min.,23:07,7:12
15 Nov.,81,54,--,--,14,59,Bon,7h 28min.,23:59,7:27
14 Nov.,85,54,--,--,13,61,Bon,8h 7min.,23:25,7:37
13 Nov.,--,--,--,--,--,--,--,--,--,--
12 Nov.,20,56,--,--,16,49,Mauvais,2h 57min.,3:32,8:57
11 Nov.,83,48,--,--,13,62,Bon,9h 8min.,1:44,11:07
10 Nov.,84,51,--,--,14,58,Bon,9h 10min.,23:17,8:38
9 Nov.,65,48,--,--,14,60,Passable,9h 26min.,23:21,8:49
8 Nov.,86,50,--,--,14,58,Bon,10h 47min.,23:44,10:55
7 Nov.,36,60,--,--,18,38,Mauvais,5h 5min.,4:48,10:30
6 Nov.,--,--,--,--,--,--,--,--,--,--
5 Nov.,--,--,--,--,--,--,--,--,--,--
4 Nov.,--,--,--,--,--,--,--,--,--,--
3 Nov.,95,49,--,--,13,53,Excellent,8h 31min.,23:09,7:41
2 Nov.,84,46,--,--,14,52,Bon,9h 40min.,22:24,8:09
1 Nov.,15,54,--,--,18,54,Mauvais,1h 28min.,6:01,8:15
31 Oct,90,48,--,--,13,68,Excellent,7h 37min.,23:20,6:59
