Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
15 Avr.,89,52,86,--,14,57,Bon,8h 4min.,23:26,7:31
14 Avr.,41,61,16,--,16,48,Mauvais,7h 6min.,3:23,10:39
13 Avr.,74,58,59,--,14,47,Passable,8h 30min.,23:08,8:20
12 Avr.,82,53,84,--,13,38,Bon,8h 19min.,22:48,7:15
11 Avr.,79,57,61,--,13,33,Passable,7h 13min.,23:53,7:26
10 Avr.,83,60,44,--,14,33,Bon,8h 36min.,22:12,7:01
9 Avr.,89,52,--,--,13,34,Bon,9h 7min.,22:49,8:02
8 Avr.,16,56,--,--,18,33,Mauvais,1h 33min.,7:53,9:37
7 Avr.,37,83,--,--,16,39,Mauvais,5h 18min.,4:30,11:30
6 Avr.,28,64,--,--,18,39,Mauvais,3h 54min.,3:13,9:35
5 Avr.,35,64,15,--,15,41,Mauvais,4h 36min.,1:22,6:15
4 Avr.,74,55,--,--,13,39,Passable,10h 44min.,22:57,10:13
3 Avr.,83,54,--,--,13,33,Bon,8h 45min.,22:31,7:17
2 Avr.,82,56,--,--,13,32,Bon,9h 16min.,21:45,7:08
1 Avr.,87,55,--,--,14,33,Bon,9h 46min.,0:45,10:36
31 Mar.,41,78,--,--,17,--,Mauvais,7h 5min.,3:56,11:37
30 Mar.,28,60,--,--,18,--,Mauvais,3h 50min.,6:29,11:07
29 Mar.,31,61,--,--,17,--,Mauvais,4h 26min.,3:59,9:12
28 Mar.,16,61,--,--,19,--,Mauvais,1h 30min.,2:25,3:55
27 Mar.,62,55,54,--,14,--,Passable,9h 37min.,23:51,10:29
26 Mar.,87,50,70,--,13,--,Bon,9h 22min.,22:55,8:25
25 Mar.,95,50,95,--,13,--,Excellent,11h 37min.,22:27,10:05
24 Mar.,29,56,7,--,16,--,Mauvais,4h 19min.,3:26,9:10
23 Mar.,46,70,14,--,15,--,Mauvais,7h 25min.,2:56,11:05
22 Mar.,18,59,--,--,17,--,Mauvais,2h 23min.,4:21,6:47
21 Mar.,40,67,15,--,15,--,Mauvais,5h 21min.,2:25,7:48
20 Mar.,94,54,--,--,14,71,Excellent,7h 49min.,22:39,6:34
19 Mar.,89,50,--,--,13,71,Bon,8h 1min.,22:32,6:50
